text,label
"As a Trainer, I want my profile page to include additional details about me (i.e., some of the answers to my Trainer application).",1
"As a site member (?), I can scroll through a listing of jobs. (There won’t be enough at first to justify search fields.).",3
"As a site member (?), I can scroll through a listing of jobs. (There won’t be enough at first to justify search fields.).",1
"As the site editor, I have pretty good control over how the article looks (include images and captions, for example).",2
"As the site editor, I have pretty good control over how the article looks (include images and captions, for example).",1
"As a User, I want to control when and what I get notified about.",6
"Users shall be able to reserve books, irrespective of whether or not the requested book is on loan.",2
"Users shall be able to reserve books, irrespective of whether or not the requested book is on loan.",4
"Users shall be able to reserve books, irrespective of whether or not the requested book is on loan.",5
"User browses action items by responsibility and completed or not. (Possibly other filters -- check).",2
"User browses action items by responsibility and completed or not. (Possibly other filters -- check).",4
"User browses action items by responsibility and completed or not. (Possibly other filters -- check).",3
"User browses action items by responsibility and completed or not. (Possibly other filters -- check).",1
"User browses action items by responsibility and completed or not. (Possibly other filters -- check).",5
"I want to be able to create personal log entries that are viewable only to me. I would also like to restrict access to log entries to me and my manager; me, my manager, and the company for which the log entry was created; me and my group. Regardless, only people who can see my projects can see my project's log entries.",2
"I want to be able to create personal log entries that are viewable only to me. I would also like to restrict access to log entries to me and my manager; me, my manager, and the company for which the log entry was created; me and my group. Regardless, only people who can see my projects can see my project's log entries.",4
"I want to be able to create personal log entries that are viewable only to me. I would also like to restrict access to log entries to me and my manager; me, my manager, and the company for which the log entry was created; me and my group. Regardless, only people who can see my projects can see my project's log entries.",3
"I want to be able to create personal log entries that are viewable only to me. I would also like to restrict access to log entries to me and my manager; me, my manager, and the company for which the log entry was created; me and my group. Regardless, only people who can see my projects can see my project's log entries.",5
"As a developer, I need bulk access to metadata (TBD) so I can preprocess the data set.",2
"As a developer, I need bulk access to metadata (TBD) so I can preprocess the data set.",1
"As a researcher, I want to be able to attach detailed meta data (e.g. the Minimal Information for a Neuroscience Investigation MINI schema) to the data and entries that I create.",6
"As a researcher, I want to be able to attach detailed meta data (e.g. the Minimal Information for a Neuroscience Investigation MINI schema) to the data and entries that I create.",3
"As a researcher, I want to be able to attach detailed meta data (e.g. the Minimal Information for a Neuroscience Investigation MINI schema) to the data and entries that I create.",1
"As as a CQWL user I need configurable postage rates so that each white label can have accurate piece pricing.",2
"As a depositor, I want to Attach subject-specific discoverability metadata to records so that. Researchers in my discipline can find my data more easily.",3
"As a user, when I hear a strange noise, I want to be able to look up what it might be, and get information.",6
"As a user, I want to be able to keep my data private on the system, and only share data that I deem should be shared.",6
"As a cataloger I want to be able to see/hear/watch/read all components associated on the with an item on the create/update screen so I don't have to leave the form.",6
"Easily record an email message in ATS. Include details like time, date, to, from, subject, etc. plus the message. --The email is sent from another tool such as [email program].",2
"Easily record an email message in ATS. Include details like time, date, to, from, subject, etc. plus the message. --The email is sent from another tool such as [email program].",4
"Easily record an email message in ATS. Include details like time, date, to, from, subject, etc. plus the message. --The email is sent from another tool such as [email program].",3
"Easily record an email message in ATS. Include details like time, date, to, from, subject, etc. plus the message. --The email is sent from another tool such as [email program].",1
"Easily record an email message in ATS. Include details like time, date, to, from, subject, etc. plus the message. --The email is sent from another tool such as [email program].",5
"As a site member, I can search for profiles based on a few fields (class attended, location, name).",1
"Provide Email Notification with order ID and steps to complete redesign process.",2
"Provide Email Notification with order ID and steps to complete redesign process.",4
"Provide Email Notification with order ID and steps to complete redesign process.",5
"As a clerk I need to be able to generate an AIR report.",2
"As a user I need to be able to apply a 5% Discount to my postage rate so I can receive the correct pricing.",2
"As a student I want to have clear explanation of the enrolllment process, including waitlist so that I don't end up in a class I don't want by mistake (which happened).",1
"As a site admin, I can see the results for each trainer and averages for the class (for all trainers).",1
"As a User, I want to download VT GIS data layers and imagery (aerial photos) only for a particular area that I specify (eg: clip &. . .",6
"As a User, I want to download VT GIS data layers and imagery (aerial photos) only for a particular area that I specify (eg: clip &. . .",3
"As a User, I want to download VT GIS data layers and imagery (aerial photos) only for a particular area that I specify (eg: clip &. . .",1
"As an archivist, I want to add Notes to other record types (besides resources).",1
"As a user I want to be alerted to potential  turbulence 10 min  before it  occurs (can be crowdsourced based on previous data).",1
"As a visitor, I can download presentations, PDFs, etc. on Scrum that I can use.",3
"As a visitor, I can download presentations, PDFs, etc. on Scrum that I can use.",7
"As a fourth-year student, I want to be able to have presented to me only features and content that are relevant to my status, so that I can focus on what is most relevant (e.g. finding a job).",6
"As a fourth-year student, I want to be able to have presented to me only features and content that are relevant to my status, so that I can focus on what is most relevant (e.g. finding a job).",3
"As a fourth-year student, I want to be able to have presented to me only features and content that are relevant to my status, so that I can focus on what is most relevant (e.g. finding a job).",1
"As a bath data archive administrator, I want to Query the entire archive (including embargoed records) so that I can report on particular aspects of the archive holdings.",1
"As a provider of DRS imaging services, I need access to preferred citations. Default digital object citations could be formulated by script from catalog records, and repositories could be allowed to replace these programmatically-produced citations with customized citations, if needed, using the DRS Web Admin user interface.",2
"As a provider of DRS imaging services, I need access to preferred citations. Default digital object citations could be formulated by script from catalog records, and repositories could be allowed to replace these programmatically-produced citations with customized citations, if needed, using the DRS Web Admin user interface.",3
"As a provider of DRS imaging services, I need access to preferred citations. Default digital object citations could be formulated by script from catalog records, and repositories could be allowed to replace these programmatically-produced citations with customized citations, if needed, using the DRS Web Admin user interface.",5
"As a student I want more transparency and communications about getting into a class & wait list rules and processing.",6
"As a User, I want to integrate aerial photos (eg: VT orthos) into my own web mashups.",3
"As a User, I want to integrate aerial photos (eg: VT orthos) into my own web mashups.",1
"As a User I'm able to add an audio fragment (soundcloud link) to a person's profile page.",1
"As a User, I want 'authoritative' datasets to be discoverable and clearly identified.",6
"As a developer, I would like to be able to search the DRS passing in an XML file of search parameters rather than a query string on the URL.",2
"As a developer, I would like to be able to search the DRS passing in an XML file of search parameters rather than a query string on the URL.",5
"As a user, when the plane drops in altitude, I want to know what happened, what the pilot is trying to do, and obtain general information on it.",6
"As a User, I want to download thematic data in bulk (eg: all transportation data).",3
"As a User, I want to download thematic data in bulk (eg: all transportation data).",1
"When the RO needs a threshold when associating origin/destination positions.",2
"When the RO needs a threshold when associating origin/destination positions.",4
"When the RO needs a threshold when associating origin/destination positions.",5
"As an admin user, I would like to have granular access to all external metadata about the object, e.g. HOLLIS metadata, annotation metadata.",2
"As an admin user, I would like to have granular access to all external metadata about the object, e.g. HOLLIS metadata, annotation metadata.",3
"As a site visitor, I want to have articles that interest me and are easy to get to.",6
"Money is collected  and  the amount is entered  into the system.",2
"Money is collected  and  the amount is entered  into the system.",4
"Money is collected  and  the amount is entered  into the system.",5
"Derive cruise altitudes by leg length for each of the sy system's aircraft types.",2
"Derive cruise altitudes by leg length for each of the sy system's aircraft types.",4
"Derive cruise altitudes by leg length for each of the sy system's aircraft types.",5
"As a release engineer I can configure nightly builds that automatically perform a Neurohub installation on a **virgin operating system**, execute tests and report back results, without requiring any **manual input/interaction**.",6
"As a User, I want to download aerial photos (eg: VT orthos) so I can use them on my computer.",3
"As a User, I want to download aerial photos (eg: VT orthos) so I can use them on my computer.",1
"As a User, I want to download aerial photos (eg: VT orthos) so I can use them on my computer.",5
"As a site editor, I can assign priority numbers to news items. Items are displayed on the front page based on priority.",3
"As a site member, I want to describe myself on my own page in a semi-structured way. That is, I can fill in predefined fields, but also have room for a free-text field or two. (It would be nice to let this free text be HTML or similar.).",6
"As a site member, I want to describe myself on my own page in a semi-structured way. That is, I can fill in predefined fields, but also have room for a free-text field or two. (It would be nice to let this free text be HTML or similar.).",3
"As a site member, I want to describe myself on my own page in a semi-structured way. That is, I can fill in predefined fields, but also have room for a free-text field or two. (It would be nice to let this free text be HTML or similar.).",1
"As a site member, I want to describe myself on my own page in a semi-structured way. That is, I can fill in predefined fields, but also have room for a free-text field or two. (It would be nice to let this free text be HTML or similar.).",7
"As a student I want to have personalized financial data so that I am only looking at data that is relevant to me (e.g. because I'm an international student, do not show financial aid information).",3
"As a student I want to have personalized financial data so that I am only looking at data that is relevant to me (e.g. because I'm an international student, do not show financial aid information).",1
"As a public user, I want a web application that can locate all the DRS objects related to a specific collection or topic, e.g. ''Eleanor Roosevelt. ''.",3
"As a public user, I want a web application that can locate all the DRS objects related to a specific collection or topic, e.g. ''Eleanor Roosevelt. ''.",5
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",6
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",6
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",3
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",1
"As a student I need to collaboratively create documents with other students so that we can work efficiently on a group project.",2
"As a User, I want all data that I find to be available for download (not just a link to an external website).",1
"As a User, I want to rank (eg: number of stars) datasets, web services, and web applications.",3
"As a User, I want to rank (eg: number of stars) datasets, web services, and web applications.",1
"As a cataloger and a collections manager I want Trident to support Duke Core so that metadata is consistent between collections.",6
"As a site admin, I am emailed whenever a job is submitted (so that I am aware of it and can decide if I want to post it).",2
"As a site admin, I am emailed whenever a job is submitted (so that I am aware of it and can decide if I want to post it).",1
"As a depositor, I want to Deposit arbitrarily large files so that I am not limited in what files I can and cannot deposit.",7
"As a User, I want access to VT GIS data layers with no downloading required (ie: as a web service).",3
"As a User, I want access to VT GIS data layers with no downloading required (ie: as a web service).",1
"As a user, I want to know when we are about to land, and obtain expectations in terms of altitude and related noises.",6
"A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.",2
"A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.",4
"A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.",3
"A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.",1
"A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.",5
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",6
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",6
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",3
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",1
"As someone whose membership (of any type) is about to expire, I am sent a reminder and a link through which I can renew. (Note: Think about overlapping memberships and prorating.).",5
"As a User, I want a robust and easy-to-use search engine to help me find the geospatial data, web services, and. . .",6
"As a User, I want a robust and easy-to-use search engine to help me find the geospatial data, web services, and. . .",3
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",2
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",3
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",1
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",5
"As a data re-user, I want to View a DOI for a dataset so that I can get back to the data in future and I can import the dataset into my reference-management software automatically.",7
"As a site visitor, I can see a list of all upcoming “Events. ” (Events are things such as the Scrum Gathering, conferences, free seminars, etc.).",3
"As a site visitor, I can see a list of all upcoming “Events. ” (Events are things such as the Scrum Gathering, conferences, free seminars, etc.).",1
"As a site admin, I can edit and delete help wanted ads.",6
"As a site editor, I'd like to have some flexibility as to where things appear to accommodate different types of content.",2
"As a User, I want to specify data types (eg: polygon, points, lines, raster) in searches.",3
"As a User, I want to specify data types (eg: polygon, points, lines, raster) in searches.",1
"As a site visitor, I want the link from the article teaser to take me directly to the body of the article. . . not to another teaser setup.",3
"Sales Rep account creation with venture 1 num.",2
"Sales Rep account creation with venture 1 num.",4
"Sales Rep account creation with venture 1 num.",5
"As a User, I want all data that I find to be available for download (not just a link to an external website).",1
"As a User, I want all data that I find to be available for download (not just a link to an external website).",5
"Create the development environment for building/testing constraints.",2
"Create the development environment for building/testing constraints.",4
"Create the development environment for building/testing constraints.",5
"Users shall be able to consult their  reservations.",2
"Users shall be able to consult their  reservations.",4
"Users shall be able to consult their  reservations.",5
"As a User, I want web services that work with ArcGIS software (desktop, mobile, and browser-based clients).",1
"As an system administrator I want to monitor the performance of CMS SiteManager so I can analyze indicators which influence the health of CMS SiteManager and undertake action upon this analysis in order to make CMS SiteManager healthy again.",7
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this , and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they  shall  enter the loan data in ACMELIS.",2
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this , and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they  shall  enter the loan data in ACMELIS.",4
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this , and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they  shall  enter the loan data in ACMELIS.",3
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this , and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they  shall  enter the loan data in ACMELIS.",1
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this , and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they  shall  enter the loan data in ACMELIS.",5
"As a student I want to be able to easily see my upcoming events and tasks (e.g. with large calendar).",3
"As a student I want to be able to easily see my upcoming events and tasks (e.g. with large calendar).",1
"As a researcher, I want services to support the long term curation of data (e.g. MRI scans, experiment output, intermediate files), so that I can be sure that data will not get 'lost' with the passage of time.",3
"As a researcher, I want services to support the long term curation of data (e.g. MRI scans, experiment output, intermediate files), so that I can be sure that data will not get 'lost' with the passage of time.",1
"As a researcher, I want services to support the long term curation of data (e.g. MRI scans, experiment output, intermediate files), so that I can be sure that data will not get 'lost' with the passage of time.",5
"As a User, I want to find and download Regional-level (RPC) GIS data.",1
"As a data re-user, I want to See different versions (including the latest) of a dataset at a glance so that I can be sure I’m using the right version of the dataset.",1
"As a User, I want more format/projection options when downloading.",6
"As a User, I want more format/projection options when downloading.",5
"As a user, when moving a file to a new location, I need to be sure that existing metadata corresponding to the file is not lost.",2
"As a user, when moving a file to a new location, I need to be sure that existing metadata corresponding to the file is not lost.",5
"As a CSM or CPO who has been approved for Practitioner status (by a site admin reading my submission), I am charged a fee.",2
"As a CSM or CPO who has been approved for Practitioner status (by a site admin reading my submission), I am charged a fee.",1
"The system shall turn the panels on and  off (one in particular, or all  at once)  through the web.",2
"The system shall turn the panels on and  off (one in particular, or all  at once)  through the web.",4
"The system shall turn the panels on and  off (one in particular, or all  at once)  through the web.",1
"The system shall turn the panels on and  off (one in particular, or all  at once)  through the web.",5
"As a bath data archive administrator, I want to Encourage and promote the use of open standards for deposit so that Data is as reusable as possible.",6
"As a researcher, I want to be able to interact with a revision control system so that I can keep track of changes to files (e. g hypothesis, notes, experiment descriptions, questionnaires, input files, results) over time.",3
"As a researcher, I want to be able to interact with a revision control system so that I can keep track of changes to files (e. g hypothesis, notes, experiment descriptions, questionnaires, input files, results) over time.",1
"As a visitor, I can download presentations, PDFs, etc. on Scrum that I can use.",3
"As a visitor, I can download presentations, PDFs, etc. on Scrum that I can use.",7
"As a visitor, I can download presentations, PDFs, etc. on Scrum that I can use.",5
"Create an interface for the user to validate their query parameters for pub/sub system queries.",2
"Create an interface for the user to validate their query parameters for pub/sub system queries.",4
"Create an interface for the user to validate their query parameters for pub/sub system queries.",5
"As a company, I can join the Scrum Alliance by paying a corporate membership fee. This will include uploading items related to corporate membership (e.g., company description, a logo of size x by y).",3
"As a company, I can join the Scrum Alliance by paying a corporate membership fee. This will include uploading items related to corporate membership (e.g., company description, a logo of size x by y).",1
"As a student I need to keep track of the tasks and assignments I have to do so I get them done on time and don't forget any of them.",2
"As a student I need to keep track of the tasks and assignments I have to do so I get them done on time and don't forget any of them.",5
"As a student I want to easily discover campus resources such as health benefits, housing options, and how to get around campus.",6
"As an (Application Adminstrator | Repository Manager), I want to assign Users to an Advanced Data Entry and ensure that the appropriate permissions are enforced.",6
"As an (Application Adminstrator | Repository Manager), I want to assign Users to an Advanced Data Entry and ensure that the appropriate permissions are enforced.",1
"The system shall allow downloading the contents stored on the server.",2
"The system shall allow downloading the contents stored on the server.",4
"The system shall allow downloading the contents stored on the server.",5
"The system shall manage the state of playlists.   A playlist can  be online or offline.   Online playlists are sent  to monitors to display videos.   Offline playlists contain videos that are stored  on the system but not  displayed  on the panels.",2
"The system shall manage the state of playlists.   A playlist can  be online or offline.   Online playlists are sent  to monitors to display videos.   Offline playlists contain videos that are stored  on the system but not  displayed  on the panels.",4
"The system shall manage the state of playlists.   A playlist can  be online or offline.   Online playlists are sent  to monitors to display videos.   Offline playlists contain videos that are stored  on the system but not  displayed  on the panels.",3
"The system shall manage the state of playlists.   A playlist can  be online or offline.   Online playlists are sent  to monitors to display videos.   Offline playlists contain videos that are stored  on the system but not  displayed  on the panels.",5
"Automatically fill in 'owner' fields when creating new projects, log entries, etc. , based on the currently-logged-in user.",2
"Automatically fill in 'owner' fields when creating new projects, log entries, etc. , based on the currently-logged-in user.",4
"Automatically fill in 'owner' fields when creating new projects, log entries, etc. , based on the currently-logged-in user.",3
"Automatically fill in 'owner' fields when creating new projects, log entries, etc. , based on the currently-logged-in user.",5
"The system shall report the disk capacity used and  left, both   in the panel’s disks and  the application server’s disk.",2
"The system shall report the disk capacity used and  left, both   in the panel’s disks and  the application server’s disk.",4
"The system shall report the disk capacity used and  left, both   in the panel’s disks and  the application server’s disk.",5
"As a student I want to be able to keep separate my personal (and club) tasks from my work (academic) tasks.",1
"As a (developer | migration developer | deployment engineer), I want to use a configuration that is not prepackaged within a built version of application.",1
"As a Trainer, I want my profile page to include additional details about me (i.e., some of the answers to my Trainer application).",1
"As a Trainer, I want my profile page to include additional details about me (i.e., some of the answers to my Trainer application).",5
"As a programmer building image display applications, I need to obtain admin metadata access rights for public/private DRS content (URNs).",2
"As a programmer building image display applications, I need to obtain admin metadata access rights for public/private DRS content (URNs).",1
"When a user creates a project, he selects a project type or template that creates a default set of action items for the project.",2
"When a user creates a project, he selects a project type or template that creates a default set of action items for the project.",4
"When a user creates a project, he selects a project type or template that creates a default set of action items for the project.",5
